date,project,users
2020-08-05T00:00:00+00:00,0x API,1970
2020-08-06T00:00:00+00:00,0x API,1989
2020-08-07T00:00:00+00:00,0x API,2017
2020-08-08T00:00:00+00:00,0x API,2034
2020-08-09T00:00:00+00:00,0x API,2052
2020-08-10T00:00:00+00:00,0x API,2064
2020-08-11T00:00:00+00:00,0x API,2079
2020-08-12T00:00:00+00:00,0x API,2082
2020-08-13T00:00:00+00:00,0x API,2087
2020-08-14T00:00:00+00:00,0x API,2120
2020-08-15T00:00:00+00:00,0x API,2135
2020-08-16T00:00:00+00:00,0x API,2149
2020-08-17T00:00:00+00:00,0x API,2159
2020-08-18T00:00:00+00:00,0x API,2170
2020-08-19T00:00:00+00:00,0x API,2179
2020-08-20T00:00:00+00:00,0x API,2186
2020-08-22T00:00:00+00:00,0x API,2196
2020-08-23T00:00:00+00:00,0x API,2201
2020-08-24T00:00:00+00:00,0x API,2207
2020-08-25T00:00:00+00:00,0x API,2213
2020-08-26T00:00:00+00:00,0x API,2230
2020-08-27T00:00:00+00:00,0x API,2244
2020-08-28T00:00:00+00:00,0x API,2256
2020-08-29T00:00:00+00:00,0x API,2269
2020-08-30T00:00:00+00:00,0x API,2277
2020-08-31T00:00:00+00:00,0x API,2284
2020-09-01T00:00:00+00:00,0x API,2291
2020-09-02T00:00:00+00:00,0x API,2297
2020-09-03T00:00:00+00:00,0x API,2306
2020-09-04T00:00:00+00:00,0x API,2313
2020-09-05T00:00:00+00:00,0x API,2332
2020-09-06T00:00:00+00:00,0x API,2350
2020-09-07T00:00:00+00:00,0x API,2363
2020-09-08T00:00:00+00:00,0x API,2374
2020-09-09T00:00:00+00:00,0x API,2394
2020-09-10T00:00:00+00:00,0x API,2401
2020-09-11T00:00:00+00:00,0x API,2406
2020-09-12T00:00:00+00:00,0x API,2423
2020-09-13T00:00:00+00:00,0x API,2435
2020-09-14T00:00:00+00:00,0x API,2445
2020-09-15T00:00:00+00:00,0x API,2455
2020-09-16T00:00:00+00:00,0x API,2463
2020-09-17T00:00:00+00:00,0x API,2467
2020-09-18T00:00:00+00:00,0x API,2471
2020-09-19T00:00:00+00:00,0x API,2480
2020-09-20T00:00:00+00:00,0x API,2496
2020-09-21T00:00:00+00:00,0x API,2512
2020-09-22T00:00:00+00:00,0x API,2522
2020-09-23T00:00:00+00:00,0x API,2573
2020-09-24T00:00:00+00:00,0x API,2589
2020-09-25T00:00:00+00:00,0x API,2615
2020-09-26T00:00:00+00:00,0x API,2673
2020-09-27T00:00:00+00:00,0x API,2706
2020-09-28T00:00:00+00:00,0x API,2734
2020-09-29T00:00:00+00:00,0x API,2764
2020-09-30T00:00:00+00:00,0x API,2788
2020-10-01T00:00:00+00:00,0x API,2841
2020-10-02T00:00:00+00:00,0x API,2890
2020-10-03T00:00:00+00:00,0x API,2927
2020-10-04T00:00:00+00:00,0x API,2966
2020-10-05T00:00:00+00:00,0x API,3013
2020-10-06T00:00:00+00:00,0x API,3082
2020-10-07T00:00:00+00:00,0x API,3140
2020-10-08T00:00:00+00:00,0x API,3181
2020-10-09T00:00:00+00:00,0x API,3226
2020-10-10T00:00:00+00:00,0x API,3266
2020-10-11T00:00:00+00:00,0x API,3305
2020-10-12T00:00:00+00:00,0x API,3332
2020-10-13T00:00:00+00:00,0x API,3366
2020-10-14T00:00:00+00:00,0x API,3415
2020-10-15T00:00:00+00:00,0x API,3484
2020-10-16T00:00:00+00:00,0x API,3545
2020-10-17T00:00:00+00:00,0x API,3584
2020-10-18T00:00:00+00:00,0x API,3629
2020-10-19T00:00:00+00:00,0x API,3671
2020-10-20T00:00:00+00:00,0x API,3725
2020-10-21T00:00:00+00:00,0x API,3790
2020-10-22T00:00:00+00:00,0x API,3876
2020-10-23T00:00:00+00:00,0x API,3930
2020-10-24T00:00:00+00:00,0x API,3976
2020-10-25T00:00:00+00:00,0x API,4019
2020-10-26T00:00:00+00:00,0x API,4075
2020-10-27T00:00:00+00:00,0x API,4128
2020-10-28T00:00:00+00:00,0x API,4170
2020-10-29T00:00:00+00:00,0x API,4222
2020-10-30T00:00:00+00:00,0x API,4263
2020-10-31T00:00:00+00:00,0x API,4296
2020-11-01T00:00:00+00:00,0x API,4330
2020-11-02T00:00:00+00:00,0x API,4379
2020-11-03T00:00:00+00:00,0x API,4461
2020-11-04T00:00:00+00:00,0x API,4566
2020-11-05T00:00:00+00:00,0x API,4751
2020-11-06T00:00:00+00:00,0x API,4969
2020-11-07T00:00:00+00:00,0x API,5124
2020-11-08T00:00:00+00:00,0x API,5279
2020-11-09T00:00:00+00:00,0x API,5426
2020-11-10T00:00:00+00:00,0x API,5586
2020-11-11T00:00:00+00:00,0x API,5767
2020-11-12T00:00:00+00:00,0x API,5925
2020-11-13T00:00:00+00:00,0x API,6094
2020-11-14T00:00:00+00:00,0x API,6242
2020-11-15T00:00:00+00:00,0x API,6375
2020-11-16T00:00:00+00:00,0x API,6511
2020-11-17T00:00:00+00:00,0x API,6703
2020-11-18T00:00:00+00:00,0x API,6918
2020-11-19T00:00:00+00:00,0x API,7147
2020-11-20T00:00:00+00:00,0x API,7348
2020-11-21T00:00:00+00:00,0x API,7532
2020-11-22T00:00:00+00:00,0x API,7706
2020-11-23T00:00:00+00:00,0x API,7898
2020-11-24T00:00:00+00:00,0x API,8072
2020-11-25T00:00:00+00:00,0x API,8239
2020-11-26T00:00:00+00:00,0x API,8403
2020-11-27T00:00:00+00:00,0x API,8503
2020-11-28T00:00:00+00:00,0x API,8619
2020-11-29T00:00:00+00:00,0x API,8777
2020-11-30T00:00:00+00:00,0x API,8905
2020-12-01T00:00:00+00:00,0x API,9041
2020-12-02T00:00:00+00:00,0x API,9194
2020-12-03T00:00:00+00:00,0x API,9356
2020-12-04T00:00:00+00:00,0x API,9508
2020-12-05T00:00:00+00:00,0x API,9677
2020-12-06T00:00:00+00:00,0x API,9852
2020-12-07T00:00:00+00:00,0x API,10051
2020-12-08T00:00:00+00:00,0x API,10235
2020-12-09T00:00:00+00:00,0x API,10431
2020-12-10T00:00:00+00:00,0x API,10619
2020-12-11T00:00:00+00:00,0x API,10768
2020-12-12T00:00:00+00:00,0x API,10902
2020-12-13T00:00:00+00:00,0x API,11045
2020-12-14T00:00:00+00:00,0x API,11301
2020-12-15T00:00:00+00:00,0x API,11620
2020-12-16T00:00:00+00:00,0x API,11784
2020-12-17T00:00:00+00:00,0x API,11983
2020-12-18T00:00:00+00:00,0x API,12265
2020-12-19T00:00:00+00:00,0x API,12576
2020-12-20T00:00:00+00:00,0x API,12991
2020-12-21T00:00:00+00:00,0x API,13280
2020-12-22T00:00:00+00:00,0x API,13559
2020-12-23T00:00:00+00:00,0x API,13779
2020-12-24T00:00:00+00:00,0x API,13985
2020-12-25T00:00:00+00:00,0x API,17119
2020-12-26T00:00:00+00:00,0x API,22930
2020-12-27T00:00:00+00:00,0x API,26567
2020-12-28T00:00:00+00:00,0x API,29146
2020-12-29T00:00:00+00:00,0x API,31931
2020-12-30T00:00:00+00:00,0x API,33963
2020-12-31T00:00:00+00:00,0x API,35914
2021-01-01T00:00:00+00:00,0x API,37920
2021-01-02T00:00:00+00:00,0x API,39307
2021-01-03T00:00:00+00:00,0x API,40084
2021-01-04T00:00:00+00:00,0x API,40487
2021-01-05T00:00:00+00:00,0x API,41071
2021-01-06T00:00:00+00:00,0x API,42073
2021-01-07T00:00:00+00:00,0x API,42864
2021-01-08T00:00:00+00:00,0x API,43681
2021-01-09T00:00:00+00:00,0x API,44644
2021-01-10T00:00:00+00:00,0x API,45627
2021-01-11T00:00:00+00:00,0x API,45983
2021-01-12T00:00:00+00:00,0x API,46736
2021-01-13T00:00:00+00:00,0x API,47857
2021-01-14T00:00:00+00:00,0x API,48557
2021-01-15T00:00:00+00:00,0x API,49155
2021-01-16T00:00:00+00:00,0x API,49831
2021-01-17T00:00:00+00:00,0x API,50715
2021-01-18T00:00:00+00:00,0x API,51373
2021-01-19T00:00:00+00:00,0x API,51962
2021-01-20T00:00:00+00:00,0x API,52601
2021-01-21T00:00:00+00:00,0x API,53161
2021-01-22T00:00:00+00:00,0x API,53654
2021-01-23T00:00:00+00:00,0x API,54654
2021-01-24T00:00:00+00:00,0x API,55720
2021-01-25T00:00:00+00:00,0x API,56490
2021-01-26T00:00:00+00:00,0x API,57257
2021-01-27T00:00:00+00:00,0x API,58005
2021-01-28T00:00:00+00:00,0x API,58930
2021-01-29T00:00:00+00:00,0x API,59483
2021-01-30T00:00:00+00:00,0x API,60196
2021-01-31T00:00:00+00:00,0x API,61017
2021-02-01T00:00:00+00:00,0x API,61609
2021-02-02T00:00:00+00:00,0x API,62202
2021-02-03T00:00:00+00:00,0x API,63028
2021-02-04T00:00:00+00:00,0x API,63512
2021-02-05T00:00:00+00:00,0x API,64079
2021-02-06T00:00:00+00:00,0x API,64773
2021-02-07T00:00:00+00:00,0x API,65568
2021-02-08T00:00:00+00:00,0x API,66163
2021-02-09T00:00:00+00:00,0x API,66653
2021-02-10T00:00:00+00:00,0x API,67287
