project,date_trunc,usd_volume
Bancor Network,2021-03-01T00:00:00+00:00,2755884865.8772781041982200448
DDEX,2021-02-01T00:00:00+00:00,2726796.92297276716
airswap,2021-07-01T00:00:00+00:00,28504793.93290936249049
LINKSWAP,2021-03-01T00:00:00+00:00,20973838.523445888218597
airswap,2020-10-01T00:00:00+00:00,8030299.489163865987927
0x Native,2020-09-01T00:00:00+00:00,831822068.27197553271111499583
Balancer,2020-09-01T00:00:00+00:00,1152990333.153307722376502412946702
Uniswap,2021-07-01T00:00:00+00:00,23889957906.164920788411639696878447
Mooniswap,2020-10-01T00:00:00+00:00,48099870.704331035464833372266288
0x Native,2021-01-01T00:00:00+00:00,4131800268.075685473348705219815345
DDEX,2020-09-01T00:00:00+00:00,1765020.310555920424
Futureswap,2021-04-01T00:00:00+00:00,
Uniswap,2020-12-01T00:00:00+00:00,12825794910.044336442916286901025407
airswap,2020-12-01T00:00:00+00:00,4392102.32490735347092876
0x Native,2021-02-01T00:00:00+00:00,4321037919.499134110229075934831932
Kyber,2021-03-01T00:00:00+00:00,331414576.07557907430676829526083287
Futureswap,2021-06-01T00:00:00+00:00,
Curve,2020-10-01T00:00:00+00:00,5201992544.680109982621285040008521
airswap,2021-06-01T00:00:00+00:00,55677310.52172701784704
DODO,2020-09-01T00:00:00+00:00,283524437.27483446106494007315
DDEX,2021-04-01T00:00:00+00:00,969075.36120943445
DDEX,2020-12-01T00:00:00+00:00,3870445.240387752623
0x Native,2021-03-01T00:00:00+00:00,3115911857.299335893830807583364258
Synthetix,2021-07-01T00:00:00+00:00,837549260.489127926920818564792774
LINKSWAP,2021-04-01T00:00:00+00:00,9854059.103915016859427276241058
Gnosis Protocol,2020-10-01T00:00:00+00:00,3018574.73061420759095836453
Balancer,2020-12-01T00:00:00+00:00,562490703.366955416313654445771016
1inch Limit Order Protocol,2021-06-01T00:00:00+00:00,86430234.29876922171864880624
Futureswap,2021-03-01T00:00:00+00:00,
Gnosis Protocol,2021-01-01T00:00:00+00:00,2550497.9924361026293372062
Sushiswap,2020-12-01T00:00:00+00:00,3074674334.75377412008686739305437
1inch LP,2021-04-01T00:00:00+00:00,387623.8361650747
DODO,2021-01-01T00:00:00+00:00,267669028.5325453271971
Bancor Network,2021-02-01T00:00:00+00:00,1834613141.031340576618329034681627
airswap,2021-03-01T00:00:00+00:00,27429172.4413970569347378
Mooniswap,2021-05-01T00:00:00+00:00,14709219.13824709271441
1inch LP,2021-05-01T00:00:00+00:00,904111.4433270173
dYdX,2021-05-01T00:00:00+00:00,845922978.697643983511591
dYdX,2021-01-01T00:00:00+00:00,1525018452.25155807837982772619
DDEX,2021-03-01T00:00:00+00:00,37929.79077097844
airswap,2021-05-01T00:00:00+00:00,223228157.0327866473695170513
Bancor Network,2021-07-01T00:00:00+00:00,693258340.35684287331440303642
dYdX,2020-11-01T00:00:00+00:00,362467855.950332743417084290225
