day,volume
2021-06-07T00:00:00+00:00,16004512.55845418736010493654
2021-01-29T00:00:00+00:00,69759636.17594990252426583378
2021-04-09T00:00:00+00:00,6119794.22439234090529933106
2021-02-07T00:00:00+00:00,20052049.89909851117099466739
2021-03-02T00:00:00+00:00,14950768.04331816543211044615
2021-04-12T00:00:00+00:00,25073587.64955209681841111756
2021-04-26T00:00:00+00:00,21617510.38838979311308217066
2021-02-16T00:00:00+00:00,24360871.55419480423321774200
2021-03-12T00:00:00+00:00,12449506.91304625295002591550
2021-04-16T00:00:00+00:00,6438725.64642218394630506368
2021-07-03T00:00:00+00:00,72863942.15376486473431394697
2021-05-04T00:00:00+00:00,97523142.28645190631211148607
2021-04-27T00:00:00+00:00,14997788.03260809274520859563
2021-01-20T00:00:00+00:00,27171590.17742050347723483229
2021-06-30T00:00:00+00:00,33196767.92616891715889542774
2021-05-10T00:00:00+00:00,34431002.36272700177882260711
2021-05-03T00:00:00+00:00,24857055.92236162956879549368
2021-05-18T00:00:00+00:00,43652059.53379969098194625608
2021-03-28T00:00:00+00:00,1543036.61007610075210251748
2021-06-18T00:00:00+00:00,19345412.20214338679257766834
2021-01-25T00:00:00+00:00,54279591.54861783397545327658
2021-04-11T00:00:00+00:00,1875533.05775544559630438269
2021-02-08T00:00:00+00:00,15278344.90882498830772087508
2021-04-24T00:00:00+00:00,13378727.96796965838876786912
2021-03-04T00:00:00+00:00,21249393.26728844517984577987
2021-02-20T00:00:00+00:00,35822406.33254547615288949746
2021-04-28T00:00:00+00:00,28299133.773022887238394793280000
2021-05-22T00:00:00+00:00,33130711.42649922637186431112
2021-05-20T00:00:00+00:00,139363288.994568504899036710930000
2021-04-02T00:00:00+00:00,18455926.93489317527724996433
2021-03-25T00:00:00+00:00,34014533.51396262641726689900
2021-04-07T00:00:00+00:00,6794419.85433181867851771064
2021-03-13T00:00:00+00:00,5128091.49150674555601679302
2021-04-20T00:00:00+00:00,14472798.62581835462910830202
2021-04-05T00:00:00+00:00,9274640.07200250097213219616
2021-02-24T00:00:00+00:00,19222370.39571259401813950214
2021-06-25T00:00:00+00:00,29317196.76064871429168436810
2021-07-07T00:00:00+00:00,4775920.31765100015469696915
2021-03-26T00:00:00+00:00,35331906.51272739656019514084
2021-02-05T00:00:00+00:00,35593432.94269607726419259090
2021-06-05T00:00:00+00:00,5040180.98583191990433733489
2021-06-11T00:00:00+00:00,64446117.58614477109028113859
2021-03-27T00:00:00+00:00,2302935.33103783299303833211
2021-05-19T00:00:00+00:00,86577865.26154541354686219634
2021-04-13T00:00:00+00:00,5507513.67443961906689009263
2021-04-14T00:00:00+00:00,16602276.93787221216496357203
2021-05-16T00:00:00+00:00,25565041.77872559874369243451
2021-01-27T00:00:00+00:00,33981119.21156016240562675882
2021-07-05T00:00:00+00:00,16331521.01645428142089493997
2021-01-15T00:00:00+00:00,41834088.862671977238961533288124
2021-02-18T00:00:00+00:00,15148934.31756400185812002653
2021-06-15T00:00:00+00:00,21599850.05572848160910767214
2021-03-06T00:00:00+00:00,26130176.37130220200032619219
2021-02-17T00:00:00+00:00,13235147.34188562867087554120
2021-02-26T00:00:00+00:00,25491603.78706657234281180156
2021-06-03T00:00:00+00:00,42176375.90145512279809303961
2021-04-29T00:00:00+00:00,9566137.90870758034342674298
2021-01-13T00:00:00+00:00,4855276.091292293046525357340000
2021-01-28T00:00:00+00:00,27863891.43794942846399856474
2021-02-09T00:00:00+00:00,28812510.88155179580095707648
2021-05-09T00:00:00+00:00,17646158.20534375363252224866
2021-01-22T00:00:00+00:00,38076649.56992515346364187688
2021-05-17T00:00:00+00:00,28383452.84948764722581245637
2021-04-18T00:00:00+00:00,8312824.59870820422770909359
2021-04-23T00:00:00+00:00,22864578.09758057927760897188
2021-03-09T00:00:00+00:00,25236942.40128428802794638727727352717305
2021-06-14T00:00:00+00:00,16174282.29568815525928469743
2021-06-27T00:00:00+00:00,1003658.18277936553592320468
2021-04-17T00:00:00+00:00,10386651.64542103386947302132
2021-03-21T00:00:00+00:00,3565864.35963662626978088028
2021-03-05T00:00:00+00:00,29828709.57958852116538268850
2021-06-10T00:00:00+00:00,38057300.20362952720806095341
2021-02-15T00:00:00+00:00,31700937.19766640400058932438
2021-02-10T00:00:00+00:00,43390609.42152877779442717670
