day,project,locked_usd_value
2021-03-17T00:00:00+00:00,Compound,11596639410.40303
2021-06-12T00:00:00+00:00,Aave,12827741536.165731
2021-06-17T00:00:00+00:00,MakerDAO,6333795536.182668
2021-06-06T00:00:00+00:00,Compound,11426503717.063396
2021-04-15T00:00:00+00:00,MakerDAO,8579432023.637787
2021-04-08T00:00:00+00:00,Aave,6078389162.418481
2021-04-03T00:00:00+00:00,MakerDAO,7295005913.275506
2021-03-21T00:00:00+00:00,MakerDAO,6790945579.250201
2021-06-06T00:00:00+00:00,Aave,13363581337.069185
2021-04-15T00:00:00+00:00,Aave,6807531820.646214
2021-04-30T00:00:00+00:00,Compound,14038673978.420595
2021-02-25T00:00:00+00:00,Compound,8921571445.86733
2021-06-25T00:00:00+00:00,MakerDAO,4757244738.544843
2021-07-30T00:00:00+00:00,Compound,14565345231.293068
2021-03-04T00:00:00+00:00,Aave,4868594034.793492
2021-04-29T00:00:00+00:00,Aave,10677421928.326145
2021-03-19T00:00:00+00:00,Aave,5421323895.844659
2021-07-15T00:00:00+00:00,Compound,11995814556.244646
2021-08-09T00:00:00+00:00,Aave,18531763948.01791
2021-05-18T00:00:00+00:00,Aave,14384001731.730917
2021-07-05T00:00:00+00:00,MakerDAO,5582457065.082973
2021-05-15T00:00:00+00:00,Aave,14618540818.078993
2021-03-28T00:00:00+00:00,Aave,5653001496.344214
2021-06-21T00:00:00+00:00,Aave,12521590249.29381
2021-07-04T00:00:00+00:00,MakerDAO,5730082776.867157
2021-03-07T00:00:00+00:00,MakerDAO,6116104353.977772
2021-04-30T00:00:00+00:00,MakerDAO,9309334211.601322
2021-03-18T00:00:00+00:00,Compound,11887791282.611002
2021-06-11T00:00:00+00:00,Aave,12978793507.423286
2021-05-31T00:00:00+00:00,Aave,12902055499.516638
2021-08-08T00:00:00+00:00,MakerDAO,7260813990.794346
2021-05-25T00:00:00+00:00,Aave,10657732927.183365
2021-08-03T00:00:00+00:00,Aave,16813577785.565825
